抽采地点,钻孔编号,检测日期,负压,瓦斯浓度,混合流量
12802回风巷,1,2026-03-07,24.81,0.29,4.736
12802回风巷,2,2026-03-07,24.86,0.88,0.241
12802回风巷,补2,2026-03-07,24.61,1.32,3.074
12802回风巷,3,2026-03-07,24.81,4.23,5.223
12802回风巷,4,2026-03-07,25.23,7.47,0.671
12802回风巷,补4,2026-03-07,25.19,10.72,2.906
12802回风巷,1,2026-03-14,25.92,1.00,3.872
12802回风巷,2,2026-03-14,25.48,13.97,0.727
12802回风巷,补2,2026-03-14,24.08,3.04,4.004
12802回风巷,3,2026-03-14,25.96,11.42,5.344
12802回风巷,4,2026-03-14,26.41,10.99,0.815
12802回风巷,补4,2026-03-14,26.43,16.03,0.919
12803回风巷,1,2026-03-14,26.39,0.00,0.592
12803回风巷,2,2026-03-14,26.37,19.80,0.493
12802回风巷,1,2026-03-15,23.92,1.01,1.304
12802回风巷,2,2026-03-15,24.21,9.98,0.523
12802回风巷,补2,2026-03-15,23.88,2.93,0.562
12802回风巷,3,2026-03-15,24.17,16.05,5.399
12802回风巷,4,2026-03-15,24.47,13.76,0.150
12802回风巷,补4,2026-03-15,24.45,17.06,2.773
12803回风巷,1,2026-03-15,26.38,0.16,1.129
12803回风巷,2,2026-03-15,16.31,16.67,0.598
12802回风巷,1,2026-03-17,27.47,1.55,3.384
12802回风巷,2,2026-03-17,27.84,1.31,0.558
12802回风巷,补2,2026-03-17,27.01,8.44,4.357
12802回风巷,3,2026-03-17,25.96,14.22,4.987
12802回风巷,4,2026-03-17,28.00,41.54,0.922
12802回风巷,补4,2026-03-17,28.11,26.76,2.119
12803回风巷,1,2026-03-17,24.24,0.20,1.342
12803回风巷,2,2026-03-17,24.34,22.20,0.584
12802回风巷,1,2026-03-18,25.54,1.54,2.850
12802回风巷,2,2026-03-18,25.98,3.29,2.018
12802回风巷,补2,2026-03-18,25.54,7.97,4.136
12802回风巷,3,2026-03-18,25.98,13.16,5.727
12802回风巷,4,2026-03-18,26.29,40.96,1.041
12802回风巷,补4,2026-03-18,23.65,23.65,1.586
12803回风巷,1,2026-03-18,24.77,0.20,0.536
12803回风巷,2,2026-03-18,24.71,9.60,0.581
12802回风巷,1,2026-03-20,23.89,0.92,7.620
12802回风巷,2,2026-03-20,24.08,1.01,0.620
12802回风巷,补2,2026-03-20,23.64,1.52,3.896
12802回风巷,3,2026-03-20,23.37,6.88,5.429
12802回风巷,4,2026-03-20,23.75,40.54,0.800
12802回风巷,补4,2026-03-20,23.70,24.85,3.219
12803回风巷,1,2026-03-20,21.81,0.00,1.075
12803回风巷,2,2026-03-20,21.86,11.31,0.589
12802回风巷,1,2026-03-21,19.66,2.20,2.811
12802回风巷,2,2026-03-21,19.77,7.60,1.986
12802回风巷,补2,2026-03-21,19.78,13.60,4.215
12802回风巷,3,2026-03-21,19.65,9.80,5.198
12802回风巷,4,2026-03-21,19.56,58.20,1.138
12802回风巷,补4,2026-03-21,19.62,36.40,1.398
12803回风巷,1,2026-03-21,21.53,0.00,1.046
12803回风巷,2,2026-03-21,21.51,10.80,0.541
